Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt1475582,10,2025-06-03,"Sherlock","Sherlock",https://www.imdb.com/title/tt1475582,TV Series,9.0,90,2010,"범죄, 미스터리, 드라마, 스릴러",1049945,"2017-10-05",
tt0330373,10,2025-06-02,"Harry Potter and the Goblet of Fire","Harry Potter and the Goblet of Fire",https://www.imdb.com/title/tt0330373,Movie,7.7,157,2005,"미스터리, 가족, 모험, 판타지",718872,"2005-12-01","Mike Newell"
tt0373889,10,2025-06-02,"Harry Potter and the Order of the Phoenix","Harry Potter and the Order of the Phoenix",https://www.imdb.com/title/tt0373889,Movie,7.5,138,2007,"액션, 가족, 판타지, 미스터리, 모험",667755,"2007-07-12","David Yates"
tt0104431,8,2025-06-02,"Home Alone 2: Lost in New York","Home Alone 2: Lost in New York",https://www.imdb.com/title/tt0104431,Movie,6.9,120,1992,"모험, 범죄, 코미디, 가족",429942,"1992-12-18","Chris Columbus"
tt0099785,10,2025-06-02,"Home Alone","Home Alone",https://www.imdb.com/title/tt0099785,Movie,7.7,103,1990,"코미디, 가족",697494,"1991-07-06","Chris Columbus"
tt0304141,10,2025-06-02,"Harry Potter and the Prisoner of Azkaban","Harry Potter and the Prisoner of Azkaban",https://www.imdb.com/title/tt0304141,Movie,7.9,142,2004,"미스터리, 가족, 모험, 판타지",730800,"2004-07-16","Alfonso Cuarón"
tt0120338,10,2025-06-02,"Titanic","Titanic",https://www.imdb.com/title/tt0120338,Movie,7.9,194,1997,"로맨스, 드라마",1341622,"1998-02-20","James Cameron"
tt0338013,10,2025-06-02,"Eternal Sunshine of the Spotless Mind","Eternal Sunshine of the Spotless Mind",https://www.imdb.com/title/tt0338013,Movie,8.3,108,2004,"드라마, 공상 과학, 로맨스",1138728,"2005-11-10","Michel Gondry"
tt10048342,10,2025-05-31,"The Queen's Gambit","The Queen's Gambit",https://www.imdb.com/title/tt10048342,TV Mini Series,8.5,60,2020,"드라마",619693,"2020-10-23",
tt0120382,9,2025-05-31,"The Truman Show","The Truman Show",https://www.imdb.com/title/tt0120382,Movie,8.2,103,1998,"코미디, 드라마",1286025,"1998-10-24","Peter Weir"
tt0167261,8,2025-05-31,"The Lord of the Rings: The Two Towers","The Lord of the Rings: The Two Towers",https://www.imdb.com/title/tt0167261,Movie,8.8,179,2002,"드라마, 모험, 판타지",1877544,"2002-12-19","Peter Jackson"
tt0172495,10,2025-05-31,"Gladiator","Gladiator",https://www.imdb.com/title/tt0172495,Movie,8.5,155,2000,"모험, 드라마, 액션",1764254,"2000-06-03","Ridley Scott"
tt0816692,10,2025-05-31,"Interstellar","Interstellar",https://www.imdb.com/title/tt0816692,Movie,8.7,169,2014,"공상 과학, 모험, 드라마",2352289,"2014-11-06","Christopher Nolan"
tt1375666,10,2025-05-31,"Inception","Inception",https://www.imdb.com/title/tt1375666,Movie,8.8,148,2010,"공상 과학, 스릴러, 액션, 모험",2690014,"2010-07-21","Christopher Nolan"
tt0109830,9,2025-05-31,"Forrest Gump","Forrest Gump",https://www.imdb.com/title/tt0109830,Movie,8.8,142,1994,"로맨스, 드라마",2384753,"1994-10-15","Robert Zemeckis"
tt0120689,10,2025-05-31,"The Green Mile","The Green Mile",https://www.imdb.com/title/tt0120689,Movie,8.6,189,1999,"범죄, 판타지, 미스터리, 드라마",1489052,"2000-03-04","Frank Darabont"
tt0460681,7,2025-05-30,"Supernatural","Supernatural",https://www.imdb.com/title/tt0460681,TV Series,8.4,44,2005,"드라마, 공포, 미스터리, 스릴러, 판타지",513091,"2021-05-20",
